Name,Link,Podcast,Number,Löschen?,Kein Podcast?,Privat?,Zeile OK?,100.00%,Podcasts bis jetzt (zum nachschlagen):,
11.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/11.txt,wrint,39,,,,TRUE,,wrint,
14.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/14.txt,,,,x,,TRUE,,,1
21.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/21.txt,EP,160,,,,TRUE,,EP,
234.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/234.txt,,,,x,,TRUE,,AL,das ist ein podcast aber ich habe keinen plan welcher
AL001.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/AL001.txt,AL,1,,,,TRUE,,BC,
apd-ho-2013-01-10.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/apd-ho-2013-01-10.txt,,,,x,,TRUE,,BM,1
bc3.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/bc3.txt,BC,3,,,,TRUE,,BAC,
BM-01-05-12.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/BM-01-05-12.txt,BM,01-05-12,,,,TRUE,,BS,
BM-01-08-12.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/BM-01-08-12.txt,BM,01-08-12,,,,TRUE,,CR,
BM-02-01-13.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/BM-02-01-13.txt,BM,02-01-13,,,,TRUE,,DW,
BM-02-04-13.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/BM-02-04-13.txt,BM,02-04-13,,,,TRUE,,PP,
BM-02-10-12.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/BM-02-10-12.txt,BM,02-10-12,,,,TRUE,,ep,
BM-03-02-12.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/BM-03-02-12.txt,BM,03-02-12,,,,TRUE,,WG,
BM-03-04-12.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/BM-03-04-12.txt,BM,03-04-12,,,,TRUE,,JC,
BM-03-10-12.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/BM-03-10-12.txt,BM,03-10-12,,,,TRUE,,LC,
BM-04-01-13.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/BM-04-01-13.txt,BM,04-01-13,,,,TRUE,,LL,
BM-04-09-12.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/BM-04-09-12.txt,BM,04-09-12,,,,TRUE,,mm,
BM-04-12-12.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/BM-04-12-12.txt,BM,04-12-12,,,,TRUE,,mw,
BM-05-02-13.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/BM-05-02-13.txt,BM,05-02-13,,,,TRUE,,ng,
BM-05-03-13.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/BM-05-03-13.txt,BM,05-03-13,,,,TRUE,,nsfw,
BM-05-07-12.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/BM-05-07-12.txt,BM,05-07-12,,,,TRUE,,PONY,
BM-05-12-12.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/BM-05-12-12.txt,BM,05-12-12,,,,TRUE,,pp,
BM-06-01-13.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/BM-06-01-13.txt,BM,06-01-13,,,,TRUE,,psyt,
BM-06-06-12.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/BM-06-06-12.txt,BM,06-06-12,,,,TRUE,,scsp,
bm-06-09-12.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/bm-06-09-12.txt,BM,06-09-12,,,,TRUE,,rm,
BM-06-11-12.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/BM-06-11-12.txt,BM,06-11-12,,,,TRUE,,wg,
BM-07-04-13.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/BM-07-04-13.txt,BM,07-04-13,,,,TRUE,,wmr,
BM-07-08-12.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/BM-07-08-12.txt,BM,07-08-12,,,,TRUE,,,
BM-07-10-12.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/BM-07-10-12.txt,BM,07-10-12,,,,TRUE,,,
BM-08-01-13.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/BM-08-01-13.txt,BM,08-01-13,,,,TRUE,,,
BM-08-05-12.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/BM-08-05-12.txt,BM,08-05-12,,,,TRUE,,,
BM-09-04-13.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/BM-09-04-13.txt,BM,09-04-13,,,,TRUE,,,
BM-09-09-12.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/BM-09-09-12.txt,BM,09-09-12,,,,TRUE,,,
BM-09-10-12.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/BM-09-10-12.txt,BM,09-10-12,,,,TRUE,,,
BM-09-12-12.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/BM-09-12-12.txt,BM,09-12-12,,,,TRUE,,,
BM-10-04-12.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/BM-10-04-12.txt,BM,10-04-12,,,,TRUE,,,
BM-10-07-12.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/BM-10-07-12.txt,BM,10-07-12,,,,TRUE,,,
BM-11-07-12.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/BM-11-07-12.txt,BM,11-07-12,,,,TRUE,,,
BM-11-09-12.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/BM-11-09-12.txt,BM,11-09-12,,,,TRUE,,,
BM-11-12-12.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/BM-11-12-12.txt,BM,11-12-12,,,,TRUE,,,
BM-12-02-13.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/BM-12-02-13.txt,BM,12-02-13,,,,TRUE,,,
BM-12-03-13.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/BM-12-03-13.txt,BM,12-03-13,,,,TRUE,,,
BM-12-06-12.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/BM-12-06-12.txt,BM,12-06-12,,,,TRUE,,,
BM-12-07-12.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/BM-12-07-12.txt,BM,12-07-12,,,,TRUE,,,
BM-12-10-12.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/BM-12-10-12.txt,BM,12-10-12,,,,TRUE,,,
BM-12-12-12.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/BM-12-12-12.txt,BM,12-12-12,,,,TRUE,,,
bm-13-01-13.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/bm-13-01-13.txt,BM,13-01-13,,,,TRUE,,,
BM-13-09-12.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/BM-13-09-12.txt,BM,13-09-12,,,,TRUE,,,
BM-13-11-12.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/BM-13-11-12.txt,BM,13-11-12,,,,TRUE,,,
BM-14-08-12.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/BM-14-08-12.txt,BM,14-08-12,,,,TRUE,,,
bm-15-01-13.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/bm-15-01-13.txt,BM,15-01-13,,,,TRUE,,,
BM-15-05-12.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/BM-15-05-12.txt,BM,15-05-12,,,,TRUE,,,
